name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
jim abbott,abboj001,0.001408450,0.998591549,0.179125528,0.822284908,0.598425196,0.401574803,0.538194444,0.461805555,0.124060150,0.875939849,0.051502145,0.948497854,0.538461538,0.461538461,0.344537815,0.655462184,0.833333333,0.166666666,0.901960784,0.098039215,0.400000000,0.600000000,0.780645161,0.219354838,0.897058823,0.102941176
kyle abbott,abbok001,0,1.000000000,0.326732673,0.673267326,0.575757575,0.424242424,0.500000000,0.500000000,0.058823529,0.941176470,0.093750000,0.906250000,0.655172413,0.344827586,0.315789473,0.684210526,0.692307692,0.307692307,0.900000000,0.100000000,1.000000000,0,0.735294117,0.264705882,1.000000000,0
juan acevedo,acevj001,0.021097046,0.978902953,0.224137931,0.797413793,0.711538461,0.288461538,0.364161849,0.635838150,0.136363636,0.863636363,0.115789473,0.884210526,0.476190476,0.523809523,0.200000000,0.800000000,0.687500000,0.312500000,0.886363636,0.113636363,0.400000000,0.600000000,0.698412698,0.301587301,0.894736842,0.105263157
mark acre,acrem001,0.010101010,0.989898989,0.311224489,0.698979591,0.672131147,0.327868852,0.484848484,0.515151515,0.088235294,0.911764705,0.096774193,0.903225806,0.482142857,0.517857142,0.296296296,0.703703703,0.631578947,0.368421052,0.862068965,0.137931034,0.500000000,0.500000000,0.796875000,0.203125000,0.923076923,0.076923076
terry adams,adamt001,0,1.000000000,0.280000000,0.720000000,0.571428571,0.428571428,0.611111111,0.388888888,0.095238095,0.904761904,0,1.000000000,0.684210526,0.315789473,0.076923076,0.923076923,0.583333333,0.416666666,0.833333333,0.166666666,0,1.000000000,0.787878787,0.212121212,0.714285714,0.285714285
rick aguilera,aguir001,0.005494505,0.994505494,0.303867403,0.701657458,0.781818181,0.218181818,0.387096774,0.612903225,0.065789473,0.934210526,0.084507042,0.915492957,0.476923076,0.523076923,0.419354838,0.580645161,0.833333333,0.166666666,0.970588235,0.029411764,0,1.000000000,0.750000000,0.250000000,0.833333333,0.166666666
pat ahearne,aheap001,0,1.000000000,0.148936170,0.851063829,0.428571428,0.571428571,0.600000000,0.400000000,0,1.000000000,0.125000000,0.875000000,0.714285714,0.285714285,0.400000000,0.600000000,0.500000000,0.500000000,1.000000000,0,\N,\N,0.583333333,0.416666666,1.000000000,0
jose alberro,albej001,0.011111111,0.988888888,0.202247191,0.808988764,0.555555555,0.444444444,0.408450704,0.591549295,0.071428571,0.928571428,0.051282051,0.948717948,0.540540540,0.459459459,0.400000000,0.600000000,1.000000000,0,0.823529411,0.176470588,0,1.000000000,0.827586206,0.172413793,1.000000000,0
tavo alvarez,alvat001,0.020547945,0.979452054,0.181818181,0.839160839,0.576923076,0.423076923,0.554545454,0.445454545,0.122448979,0.877551020,0.023255813,0.976744186,0.666666666,0.333333333,0.392857142,0.607142857,0.647058823,0.352941176,0.857142857,0.142857142,0,1.000000000,0.786885245,0.213114754,0.846153846,0.153846153
wilson alvarez,alvaw001,0.003169572,0.996830427,0.284578696,0.718600953,0.581005586,0.418994413,0.408888888,0.591111111,0.176691729,0.823308270,0.091324200,0.908675799,0.572864321,0.427135678,0.315789473,0.684210526,0.730769230,0.269230769,0.905882352,0.094117647,0.250000000,0.750000000,0.777173913,0.222826086,0.951219512,0.048780487
brian anderson,andeb002,0.008379888,0.991620111,0.185915492,0.822535211,0.621212121,0.378787878,0.420494699,0.579505300,0.079268292,0.920731707,0.139072847,0.860927152,0.392307692,0.607692307,0.372549019,0.627450980,0.750000000,0.250000000,0.974683544,0.025316455,1.000000000,0,0.756302521,0.243697478,0.827586206,0.172413793
scott anderson,andes001,0.011363636,0.988636363,0.126436781,0.885057471,0.272727272,0.727272727,0.405405405,0.594594594,0.136363636,0.863636363,0.078947368,0.921052631,0.457142857,0.542857142,0.312500000,0.687500000,0.454545454,0.545454545,0.947368421,0.052631578,0,1.000000000,0.833333333,0.166666666,1.000000000,0
luis andujar,andul001,0.009900990,0.990099009,0.170000000,0.840000000,0.411764705,0.588235294,0.337349397,0.662650602,0.072727272,0.927272727,0.058823529,0.941176470,0.416666666,0.583333333,0.350000000,0.650000000,0.615384615,0.384615384,0.892857142,0.107142857,0.333333333,0.666666666,0.892857142,0.107142857,1.000000000,0
kevin appier,appik001,0.008559201,0.991440798,0.341007194,0.667625899,0.683544303,0.316455696,0.486486486,0.513513513,0.184210526,0.815789473,0.069892473,0.930107526,0.508670520,0.491329479,0.250000000,0.750000000,0.606060606,0.393939393,0.917647058,0.082352941,0.571428571,0.428571428,0.814814814,0.185185185,0.875000000,0.125000000
luis aquino,aquil001,0.011764705,0.988235294,0.184523809,0.827380952,0.741935483,0.258064516,0.456692913,0.543307086,0.260869565,0.739130434,0.098039215,0.901960784,0.521739130,0.478260869,0.375000000,0.625000000,0.533333333,0.466666666,0.909090909,0.090909090,1.000000000,0,0.724137931,0.275862068,0.812500000,0.187500000
rene arocha,arocr001,0.011560693,0.988439306,0.204678362,0.807017543,0.628571428,0.371428571,0.503759398,0.496240601,0.121212121,0.878787878,0.103448275,0.896551724,0.500000000,0.500000000,0.423076923,0.576923076,0.733333333,0.266666666,0.807692307,0.192307692,0.200000000,0.800000000,0.761194029,0.238805970,0.937500000,0.062500000
andy ashby,ashba002,0.014836795,0.985163204,0.277108433,0.737951807,0.706521739,0.293478260,0.540772532,0.459227467,0.065420560,0.934579439,0.065000000,0.935000000,0.422459893,0.577540106,0.265822784,0.734177215,0.810344827,0.189655172,0.833333333,0.166666666,0.444444444,0.555555555,0.797619047,0.202380952,0.960784313,0.039215686
