name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Jim Abbott,abboj001,0.008695652,0.991304347,0.184210526,0.824561403,0.571428571,0.428571428,0.634408602,0.365591397,0.117647058,0.882352941,0.033333333,0.966666666,0.551724137,0.448275862,0.250000000,0.750000000,0.833333333,0.166666666,0.846153846,0.153846153,0,1.000000000,0.779661016,0.220338983,0.923076923,0.076923076
Paul Abbott,abbop001,0,1.000000000,0.280898876,0.719101123,0.720000000,0.280000000,0.593750000,0.406250000,0,1.000000000,0.076923076,0.923076923,0.250000000,0.750000000,0,1.000000000,1.000000000,0,0.833333333,0.166666666,0.333333333,0.666666666,0.710526315,0.289473684,1.000000000,0
Juan Acevedo,acevj001,0.012269938,0.987730061,0.214285714,0.798136645,0.695652173,0.304347826,0.442687747,0.557312252,0.219858156,0.780141843,0.054545454,0.945454545,0.471153846,0.528846153,0.346938775,0.653061224,0.937500000,0.062500000,0.927272727,0.072727272,0.250000000,0.750000000,0.767857142,0.232142857,0.923076923,0.076923076
Joel Adamson,adamj001,0.034883720,0.965116279,0.253012048,0.783132530,0.619047619,0.380952380,0.451612903,0.548387096,0.176470588,0.823529411,0.178571428,0.821428571,0.434782608,0.565217391,0.100000000,0.900000000,0.888888888,0.111111111,0.923076923,0.076923076,1.000000000,0,0.750000000,0.250000000,0.714285714,0.285714285
Terry Adams,adamt001,0.003521126,0.996478873,0.360424028,0.643109540,0.656862745,0.343137254,0.591160220,0.408839779,0.094594594,0.905405405,0.089552238,0.910447761,0.573770491,0.426229508,0.228571428,0.771428571,0.777777777,0.222222222,0.923076923,0.076923076,0,1.000000000,0.719626168,0.280373831,0.966666666,0.033333333
Rick Aguilera,aguir001,0.003861003,0.996138996,0.244186046,0.759689922,0.809523809,0.190476190,0.379487179,0.620512820,0.123966942,0.876033057,0.075471698,0.924528301,0.489795918,0.510204081,0.125000000,0.875000000,0.690476190,0.309523809,0.800000000,0.200000000,0.500000000,0.500000000,0.905405405,0.094594594,1.000000000,0
Scott Aldred,aldrs001,0.018181818,0.981818181,0.222222222,0.796296296,0.708333333,0.291666666,0.547619047,0.452380952,0.078947368,0.921052631,0.028571428,0.971428571,0.647058823,0.352941176,0.227272727,0.772727272,0.764705882,0.235294117,0.833333333,0.166666666,0.500000000,0.500000000,0.826086956,0.173913043,0.875000000,0.125000000
Antonio Alfonseca,alfoa001,0.011363636,0.988636363,0.237547892,0.773946360,0.661290322,0.338709677,0.456852791,0.543147208,0.084112149,0.915887850,0.102040816,0.897959183,0.545454545,0.454545454,0.312500000,0.687500000,0.818181818,0.181818181,0.850000000,0.150000000,0,1.000000000,0.833333333,0.166666666,1.000000000,0
Carlos Almanzar,almac001,0.009523809,0.990476190,0.211538461,0.798076923,0.863636363,0.136363636,0.439024390,0.560975609,0.065217391,0.934782608,0.093023255,0.906976744,0.538461538,0.461538461,0.142857142,0.857142857,0.555555555,0.444444444,0.888888888,0.111111111,0,1.000000000,0.750000000,0.250000000,1.000000000,0
Wilson Alvarez,alvaw001,0.015267175,0.984732824,0.306201550,0.709302325,0.620253164,0.379746835,0.396648044,0.603351955,0.143518518,0.856481481,0.086486486,0.913513513,0.455621301,0.544378698,0.233766233,0.766233766,0.711864406,0.288135593,0.934782608,0.065217391,0.666666666,0.333333333,0.830985915,0.169014084,0.875000000,0.125000000
