name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct,double_per_xb_g,double_per_xb_f,double_per_xb_l
shawn abner,abnes001,0.004716981,0.995283018,0.236966824,0.767772511,0.860000000,0.140000000,0.434782608,0.565217391,0.197802197,0.802197802,0.041095890,0.958904109,0.385714285,0.614285714,0.296296296,0.703703703,0.789473684,0.210526315,0.906976744,0.093023255,0,1.000000000,0.814285714,0.185714285,0.846153846,0.153846153,1.000000000,0.500000000,1.000000000
troy afenir,afent001,0,1.000000000,0.200000000,0.800000000,1.000000000,0,0.375000000,0.625000000,0.200000000,0.800000000,0,1.000000000,0.500000000,0.500000000,0.500000000,0.500000000,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
juan agosto,agosj001,0,1.000000000,0.750000000,0.250000000,0.666666666,0.333333333,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1.000000000,1.000000000,0,\N,\N,\N
darrel akerfelds,akerd001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
mike aldrete,aldrm001,0,1.000000000,0.339055793,0.660944206,0.518987341,0.481012658,0.558441558,0.441558441,0.088235294,0.911764705,0.016129032,0.983870967,0.491803278,0.508196721,0.266666666,0.733333333,0.863636363,0.136363636,0.838709677,0.161290322,0.400000000,0.600000000,0.767441860,0.232558139,0.950000000,0.050000000,1.000000000,0.666666666,1.000000000
luis alicea,alicl001,0,1.000000000,0.360000000,0.640000000,0.703703703,0.296296296,0.250000000,0.750000000,0.138888888,0.861111111,0,1.000000000,0.451612903,0.548387096,0.357142857,0.642857142,0.888888888,0.111111111,1.000000000,0,\N,\N,0.833333333,0.166666666,0.500000000,0.500000000,1.000000000,\N,1.000000000
andy allanson,allaa001,0,1.000000000,0.251655629,0.748344370,0.815789473,0.184210526,0.371681415,0.628318584,0.169014084,0.830985915,0.016949152,0.983050847,0.465517241,0.534482758,0.333333333,0.666666666,0.666666666,0.333333333,0.838709677,0.161290322,0.200000000,0.800000000,0.785714285,0.214285714,1.000000000,0,\N,1.000000000,1.000000000
beau allred,allrb001,0.006756756,0.993243243,0.394557823,0.612244897,0.603448275,0.396551724,0.247191011,0.752808988,0.194029850,0.805970149,0.055555555,0.944444444,0.431372549,0.568627450,0.227272727,0.772727272,0.882352941,0.117647058,0.931034482,0.068965517,0.500000000,0.500000000,0.727272727,0.272727272,1.000000000,0,\N,1.000000000,1.000000000
roberto alomar,alomr001,0.005934718,0.994065281,0.208955223,0.797014925,0.614285714,0.385714285,0.422641509,0.577358490,0.081699346,0.918300653,0.032028469,0.967971530,0.474264705,0.525735294,0.279069767,0.720930232,0.677419354,0.322580645,0.839160839,0.160839160,0.260869565,0.739130434,0.772321428,0.227678571,0.960784313,0.039215686,1.000000000,0.588235294,0.866666666
sandy alomar,aloms001,0.020942408,0.979057591,0.165775401,0.855614973,0.774193548,0.225806451,0.467948717,0.532051282,0.132530120,0.867469879,0,1.000000000,0.375000000,0.625000000,0.333333333,0.666666666,0.777777777,0.222222222,0.933333333,0.066666666,0,1.000000000,0.767123287,0.232876712,0.941176470,0.058823529,1.000000000,1.000000000,1.000000000
rich amaral,amarr001,0.058823529,0.941176470,0.375000000,0.687500000,0.833333333,0.166666666,0.500000000,0.500000000,0.200000000,0.800000000,0,1.000000000,0.250000000,0.750000000,1.000000000,0,\N,\N,0.666666666,0.333333333,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N
