name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Shawn Abner,abnes001,0.010928961,0.989071038,0.198895027,0.812154696,0.777777777,0.222222222,0.493055555,0.506944444,0.150684931,0.849315068,0.016129032,0.983870967,0.524590163,0.475409836,0.375000000,0.625000000,0.800000000,0.200000000,0.862068965,0.137931034,0.500000000,0.500000000,0.732394366,0.267605633,0.842105263,0.157894736
Troy Afenir,afent001,0,1.000000000,0.400000000,0.600000000,1.000000000,0,0.222222222,0.777777777,0.142857142,0.857142857,0,1.000000000,0.500000000,0.500000000,0.666666666,0.333333333,1.000000000,0,1.000000000,0,\N,\N,0.500000000,0.500000000,1.000000000,0
Juan Agosto,agosj001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Darrel Akerfelds,akerd001,0,1.000000000,0.500000000,0.500000000,1.000000000,0,0.666666666,0.333333333,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,0.500000000,0.500000000,1.000000000,0
Mike Aldrete,aldrm001,0.005076142,0.994923857,0.336734693,0.668367346,0.469696969,0.530303030,0.547619047,0.452380952,0,1.000000000,0.017543859,0.982456140,0.357142857,0.642857142,0.400000000,0.600000000,0.750000000,0.250000000,0.805555555,0.194444444,0.428571428,0.571428571,0.782608695,0.217391304,0.933333333,0.066666666
Beau Allred,allrb001,0,1.000000000,0.277777777,0.722222222,0.600000000,0.400000000,0.307692307,0.692307692,0.222222222,0.777777777,0.142857142,0.857142857,0.166666666,0.833333333,1.000000000,0,\N,\N,0.800000000,0.200000000,0,1.000000000,0.750000000,0.250000000,1.000000000,0
Roberto Alomar,alomr001,0.003246753,0.996753246,0.193811074,0.809446254,0.605042016,0.394957983,0.543568464,0.456431535,0.081818181,0.918181818,0.024752475,0.975247524,0.406091370,0.593908629,0.237500000,0.762500000,0.786885245,0.213114754,0.829059829,0.170940170,0.400000000,0.600000000,0.755725190,0.244274809,0.921875000,0.078125000
Sandy Alomar,aloms001,0.004376367,0.995623632,0.151648351,0.852747252,0.666666666,0.333333333,0.438320209,0.561679790,0.130841121,0.869158878,0.048387096,0.951612903,0.384180790,0.615819209,0.220588235,0.779411764,0.660377358,0.339622641,0.834862385,0.165137614,0.611111111,0.388888888,0.748502994,0.251497005,0.928571428,0.071428571
Moises Alou,aloum001,0,1.000000000,0.150000000,0.850000000,1.000000000,0,0.562500000,0.437500000,0.142857142,0.857142857,0,1.000000000,0.500000000,0.500000000,0.333333333,0.666666666,0.500000000,0.500000000,1.000000000,0,\N,\N,0.888888888,0.111111111,1.000000000,0
Brady Anderson,andeb001,0.019685039,0.980314960,0.301204819,0.718875502,0.613333333,0.386666666,0.476744186,0.523255813,0.144444444,0.855555555,0.038961038,0.961038961,0.378378378,0.621621621,0.357142857,0.642857142,0.833333333,0.166666666,0.804347826,0.195652173,0.666666666,0.333333333,0.768292682,0.231707317,0.947368421,0.052631578
Dave Anderson,anded001,0,1.000000000,0.230000000,0.770000000,0.869565217,0.130434782,0.588235294,0.411764705,0.071428571,0.928571428,0.038461538,0.961538461,0.560000000,0.440000000,0.285714285,0.714285714,0.900000000,0.100000000,0.818181818,0.181818181,0,1.000000000,0.725000000,0.275000000,1.000000000,0
Kent Anderson,andek001,0.006578947,0.993421052,0.205298013,0.801324503,0.612903225,0.387096774,0.457627118,0.542372881,0.109375000,0.890625000,0.017543859,0.982456140,0.535714285,0.464285714,0.400000000,0.600000000,0.833333333,0.166666666,0.769230769,0.230769230,0.666666666,0.333333333,0.685185185,0.314814814,0.882352941,0.117647058
Larry Andersen,andel001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
