name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
David Aardsma,aardd001,0,1.000000000,0.393822393,0.606177606,0.715686274,0.284313725,0.254777070,0.745222929,0.102564102,0.897435897,0.028571428,0.971428571,0.382352941,0.617647058,0.333333333,0.666666666,0.846153846,0.153846153,0.904761904,0.095238095,0.333333333,0.666666666,0.750000000,0.250000000,0.900000000,0.100000000
Winston Abreu,abrew001,0.035714285,0.964285714,0.333333333,0.703703703,0.666666666,0.333333333,0.388888888,0.611111111,0,1.000000000,0.181818181,0.818181818,0.444444444,0.555555555,0.250000000,0.750000000,1.000000000,0,1.000000000,0,\N,\N,0.428571428,0.571428571,1.000000000,0
Jeremy Accardo,accaj001,0.022471910,0.977528089,0.310344827,0.712643678,0.592592592,0.407407407,0.483333333,0.516666666,0.129032258,0.870967741,0.074074074,0.925925925,0.400000000,0.600000000,0.200000000,0.800000000,0.750000000,0.250000000,0.866666666,0.133333333,0.500000000,0.500000000,0.724137931,0.275862068,1.000000000,0
Alfredo Aceves,aceva001,0.017667844,0.982332155,0.276978417,0.741007194,0.831168831,0.168831168,0.348258706,0.651741293,0.160305343,0.839694656,0.072727272,0.927272727,0.431372549,0.568627450,0.227272727,0.772727272,0.764705882,0.235294117,0.879310344,0.120689655,0.285714285,0.714285714,0.871428571,0.128571428,1.000000000,0
Manny Acosta,acosm001,0.013513513,0.986486486,0.287671232,0.726027397,0.690476190,0.309523809,0.413461538,0.586538461,0.163934426,0.836065573,0.058823529,0.941176470,0.437500000,0.562500000,0.238095238,0.761904761,0.875000000,0.125000000,0.703703703,0.296296296,0.125000000,0.875000000,0.767441860,0.232558139,1.000000000,0
Mike Adams,adamm001,0,1.000000000,0.403508771,0.596491228,0.847826086,0.152173913,0.558823529,0.441176470,0.266666666,0.733333333,0,1.000000000,0.272727272,0.727272727,0.166666666,0.833333333,0.800000000,0.200000000,0.937500000,0.062500000,1.000000000,0,0.868421052,0.131578947,1.000000000,0
Nick Adenhart,adenn001,0,1.000000000,0.291666666,0.708333333,0.714285714,0.285714285,0.352941176,0.647058823,0,1.000000000,0,1.000000000,0.272727272,0.727272727,0,1.000000000,1.000000000,0,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N
Jeremy Affeldt,affej001,0.013574660,0.986425339,0.366972477,0.646788990,0.650000000,0.350000000,0.630434782,0.369565217,0.078431372,0.921568627,0.063829787,0.936170212,0.500000000,0.500000000,0.318181818,0.681818181,0.800000000,0.200000000,0.818181818,0.181818181,0,1.000000000,0.804597701,0.195402298,0.941176470,0.058823529
Jonathan Albaladejo,albaj001,0.021897810,0.978102189,0.208955223,0.813432835,0.642857142,0.357142857,0.547169811,0.452830188,0.145833333,0.854166666,0.121951219,0.878048780,0.638888888,0.361111111,0.304347826,0.695652173,0.625000000,0.375000000,0.846153846,0.153846153,0,1.000000000,0.810344827,0.189655172,0.909090909,0.090909090
Matt Albers,albem001,0.007751937,0.992248062,0.261718750,0.746093750,0.611940298,0.388059701,0.513227513,0.486772486,0.141304347,0.858695652,0.025316455,0.974683544,0.493506493,0.506493506,0.210526315,0.789473684,0.733333333,0.266666666,0.743589743,0.256410256,0.400000000,0.600000000,0.721649484,0.278350515,0.925925925,0.074074074
Brett Anderson,andeb004,0.004807692,0.995192307,0.280193236,0.724637681,0.781609195,0.218390804,0.519015659,0.480984340,0.102325581,0.897674418,0.098445595,0.901554404,0.436781609,0.563218390,0.250000000,0.750000000,0.736842105,0.263157894,0.857142857,0.142857142,0.428571428,0.571428571,0.741379310,0.258620689,0.950000000,0.050000000
Greg Aquino,aquig001,0,1.000000000,0.311475409,0.688524590,0.526315789,0.473684210,0.619047619,0.380952380,0,1.000000000,0.062500000,0.937500000,0.400000000,0.600000000,0.333333333,0.666666666,0.500000000,0.500000000,0.888888888,0.111111111,0,1.000000000,0.730769230,0.269230769,1.000000000,0
Alberto Arias,ariaa002,0.034285714,0.965714285,0.272189349,0.763313609,0.739130434,0.260869565,0.650406504,0.349593495,0.116279069,0.883720930,0.026315789,0.973684210,0.378378378,0.621621621,0.142857142,0.857142857,0.833333333,0.166666666,0.695652173,0.304347826,0.428571428,0.571428571,0.725000000,0.275000000,0.909090909,0.090909090
Jose Arredondo,arrej001,0,1.000000000,0.337209302,0.662790697,0.724137931,0.275862068,0.421052631,0.578947368,0.106060606,0.893939393,0.101694915,0.898305084,0.339622641,0.660377358,0.222222222,0.777777777,0.928571428,0.071428571,0.742857142,0.257142857,0.555555555,0.444444444,0.687500000,0.312500000,0.933333333,0.066666666
Bronson Arroyo,arrob001,0.010471204,0.989528795,0.212962962,0.797619047,0.720496894,0.279503105,0.461279461,0.538720538,0.125000000,0.875000000,0.100000000,0.900000000,0.472222222,0.527777777,0.344537815,0.655462184,0.807692307,0.192307692,0.879699248,0.120300751,0.250000000,0.750000000,0.806569343,0.193430656,0.905660377,0.094339622
Jose Ascanio,ascaj001,0.027397260,0.972602739,0.352112676,0.676056338,0.720000000,0.280000000,0.391304347,0.608695652,0.107142857,0.892857142,0.040000000,0.960000000,0.291666666,0.708333333,0,1.000000000,1.000000000,0,0.823529411,0.176470588,0.333333333,0.666666666,0.611111111,0.388888888,1.000000000,0
Mitch Atkins,atkim001,0,1.000000000,0,1.000000000,\N,\N,0.666666666,0.333333333,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,0.750000000,0.250000000,1.000000000,0
Bryan Augenstein,augeb001,0.032258064,0.967741935,0.133333333,0.900000000,0.500000000,0.500000000,0.538461538,0.461538461,0.041666666,0.958333333,0.086956521,0.913043478,0.523809523,0.476190476,0.272727272,0.727272727,0.875000000,0.125000000,0.800000000,0.200000000,0,1.000000000,0.750000000,0.250000000,0.857142857,0.142857142
John Axford,axfoj001,0,1.000000000,0.423076923,0.576923076,0.727272727,0.272727272,0.200000000,0.800000000,0.083333333,0.916666666,0,1.000000000,0.454545454,0.545454545,0.200000000,0.800000000,0.750000000,0.250000000,0.833333333,0.166666666,1.000000000,0,1.000000000,0,\N,\N
Luis Ayala,ayall001,0.026490066,0.973509933,0.244897959,0.782312925,0.722222222,0.277777777,0.405405405,0.594594594,0.060606060,0.939393939,0.080645161,0.919354838,0.385964912,0.614035087,0.181818181,0.818181818,0.722222222,0.277777777,0.657142857,0.342857142,0.333333333,0.666666666,0.733333333,0.266666666,1.000000000,0
Brandon Backe,backb001,0,1.000000000,0.226415094,0.773584905,0.666666666,0.333333333,0.390243902,0.609756097,0.120000000,0.880000000,0.227272727,0.772727272,0.176470588,0.823529411,0.333333333,0.666666666,1.000000000,0,0.642857142,0.357142857,0.200000000,0.800000000,0.500000000,0.500000000,0.875000000,0.125000000
Burke Badenhop,badeb001,0.003921568,0.996078431,0.248031496,0.755905511,0.746031746,0.253968253,0.565445026,0.434554973,0.084337349,0.915662650,0.065789473,0.934210526,0.549295774,0.450704225,0.307692307,0.692307692,0.851851851,0.148148148,0.781250000,0.218750000,0.428571428,0.571428571,0.777777777,0.222222222,0.916666666,0.083333333
Danys Baez,baezd001,0.015625000,0.984375000,0.210317460,0.805555555,0.698113207,0.301886792,0.618090452,0.381909547,0.078947368,0.921052631,0.114285714,0.885714285,0.435483870,0.564516129,0.259259259,0.740740740,0.700000000,0.300000000,0.914285714,0.085714285,0.333333333,0.666666666,0.845528455,0.154471544,1.000000000,0
Andrew Bailey,baila001,0,1.000000000,0.367647058,0.632352941,0.800000000,0.200000000,0.430232558,0.569767441,0.163265306,0.836734693,0.060975609,0.939024390,0.350649350,0.649350649,0.370370370,0.629629629,0.764705882,0.235294117,0.880000000,0.120000000,0.500000000,0.500000000,0.810810810,0.189189189,1.000000000,0
