name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct,double_per_xb_g,double_per_xb_f,double_per_xb_l
david aardsma,aardd001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
andy abad,abada001,0,1.000000000,0.400000000,0.600000000,0,1.000000000,0,1.000000000,0.333333333,0.666666666,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
reggie abercrombie,aberr001,0.011494252,0.988505747,0.364341085,0.647286821,0.829787234,0.170212765,0.573170731,0.426829268,0.142857142,0.857142857,0.083333333,0.916666666,0.327272727,0.672727272,0.277777777,0.722222222,0.846153846,0.153846153,0.810810810,0.189189189,0,1.000000000,0.723404255,0.276595744,0.807692307,0.192307692,1.000000000,0.714285714,1.000000000
bobby abreu,abreb001,0.004444444,0.995555555,0.380952380,0.623511904,0.539062500,0.460937500,0.442307692,0.557692307,0.025862068,0.974137931,0.066371681,0.933628318,0.521327014,0.478672985,0.245454545,0.754545454,0.698795180,0.301204819,0.801980198,0.198019801,0.100000000,0.900000000,0.755434782,0.244565217,1.000000000,0,\N,0.944444444,0.960000000
jeremy accardo,accaj001,0,1.000000000,0.200000000,0.800000000,1.000000000,0,0.750000000,0.250000000,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
russ adams,adamr002,0.003802281,0.996197718,0.240458015,0.763358778,0.650793650,0.349206349,0.386934673,0.613065326,0.114754098,0.885245901,0.027777777,0.972222222,0.380952380,0.619047619,0.300000000,0.700000000,0.607142857,0.392857142,0.892307692,0.107692307,0.428571428,0.571428571,0.779220779,0.220779220,1.000000000,0,\N,1.000000000,0.909090909
jon adkins,adkij001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
jeremy affeldt,affej001,0,1.000000000,0.333333333,0.666666666,1.000000000,0,0.500000000,0.500000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
chris aguila,aguic001,0,1.000000000,0.343434343,0.656565656,0.764705882,0.235294117,0.400000000,0.600000000,0.179487179,0.820512820,0,1.000000000,0.312500000,0.687500000,0.200000000,0.800000000,0.500000000,0.500000000,0.727272727,0.272727272,0.166666666,0.833333333,0.730769230,0.269230769,1.000000000,0,\N,0.800000000,1.000000000
matt albers,albem001,0,1.000000000,0.750000000,0.250000000,1.000000000,0,0,1.000000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
