name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct,double_per_xb_g,double_per_xb_f,double_per_xb_l
glenn adams,adamg101,0,1.000000000,0.145985401,0.854014598,0.650000000,0.350000000,0.547169811,0.452830188,0.069444444,0.930555555,0,1.000000000,0.134328358,0.865671641,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
luis aguayo,agual001,0,1.000000000,0.102040816,0.897959183,0.600000000,0.400000000,0.451612903,0.548387096,0.117647058,0.882352941,0,1.000000000,0.200000000,0.800000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
willie aikens,aikew001,0.011437908,0.988562091,0.246280991,0.765289256,0.590604026,0.409395973,0.522727272,0.477272727,0.095238095,0.904761904,0,1.000000000,0.180451127,0.819548872,0.958333333,0.041666666,0,1.000000000,1.000000000,0,\N,\N,0.987577639,0.012422360,1.000000000,0,\N,\N,1.000000000
danny ainge,aingd101,0.009090909,0.990909090,0.284403669,0.724770642,0.935483870,0.064516129,0.549019607,0.450980392,0.086956521,0.913043478,0,1.000000000,0.142857142,0.857142857,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
doyle alexander,alexd001,0,1.000000000,0.320987654,0.679012345,0.884615384,0.115384615,0.525000000,0.475000000,0.315789473,0.684210526,0,1.000000000,0.076923076,0.923076923,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
gary alexander,alexg101,0,1.000000000,0.356020942,0.643979057,0.764705882,0.235294117,0.506024096,0.493975903,0.024390243,0.975609756,0,1.000000000,0.050000000,0.950000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
matt alexander,alexm101,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
gary allenson,alleg001,0,1.000000000,0.289156626,0.710843373,0.458333333,0.541666666,0.382352941,0.617647058,0.095238095,0.904761904,0,1.000000000,0.105263157,0.894736842,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
kim allen,allek101,0.019230769,0.980769230,0.176470588,0.843137254,0.333333333,0.666666666,0.633333333,0.366666666,0.090909090,0.909090909,0,1.000000000,0.300000000,0.700000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
neil allen,allen001,0,1.000000000,0.533333333,0.466666666,0.875000000,0.125000000,0.600000000,0.400000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
bill almon,almob001,0,1.000000000,0.256410256,0.743589743,0.800000000,0.200000000,0.431818181,0.568181818,0.080000000,0.920000000,0,1.000000000,0.152173913,0.847826086,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
dell alston,alstd101,0.033333333,0.966666666,0.172413793,0.862068965,0.700000000,0.300000000,0.527777777,0.472222222,0.117647058,0.882352941,0,1.000000000,0.200000000,0.800000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
jim anderson,andej001,0.009009009,0.990990990,0.196969696,0.812121212,0.600000000,0.400000000,0.466666666,0.533333333,0.028846153,0.971153846,0,1.000000000,0.118811881,0.881188118,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
joaquin andujar,anduj001,0,1.000000000,0.612903225,0.387096774,0.842105263,0.157894736,0.428571428,0.571428571,0.250000000,0.750000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
tony armas,armat001,0.003100775,0.996899224,0.237947122,0.765163297,0.836601307,0.163398692,0.515822784,0.484177215,0.039215686,0.960784313,0,1.000000000,0.081632653,0.918367346,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
mike armstrong,armsm001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
alan ashby,ashba001,0,1.000000000,0.167108753,0.832891246,0.634920634,0.365079365,0.647321428,0.352678571,0.088607594,0.911392405,0,1.000000000,0.152777777,0.847222222,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
tucker ashford,ashft001,0,1.000000000,0.181818181,0.818181818,0.500000000,0.500000000,0.583333333,0.416666666,0.100000000,0.900000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
brian asselstine,asseb101,0.004444444,0.995555555,0.196428571,0.808035714,0.818181818,0.181818181,0.550847457,0.449152542,0.169811320,0.830188679,0,1.000000000,0.045454545,0.954545454,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
rick auerbach,auerr101,0,1.000000000,0.228571428,0.771428571,0.625000000,0.375000000,0.437500000,0.562500000,0.333333333,0.666666666,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
doug ault,aultd101,0.012658227,0.987341772,0.237179487,0.775641025,0.621621621,0.378378378,0.608695652,0.391304347,0.166666666,0.833333333,0,1.000000000,0.133333333,0.866666666,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.982142857,0.017857142,1.000000000,0,\N,\N,\N
ramon aviles,avilr101,0,1.000000000,0.157407407,0.842592592,0.529411764,0.470588235,0.460317460,0.539682539,0.058823529,0.941176470,0,1.000000000,0.281250000,0.718750000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
benny ayala,ayalb001,0,1.000000000,0.202185792,0.797814207,0.567567567,0.432432432,0.445544554,0.554455445,0.196428571,0.803571428,0,1.000000000,0.155555555,0.844444444,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
wally backman,backw001,0.010000000,0.990000000,0.242424242,0.767676767,0.583333333,0.416666666,0.795918367,0.204081632,0.100000000,0.900000000,0,1.000000000,0.111111111,0.888888888,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
stan bahnsen,bahns101,0,1.000000000,0.583333333,0.416666666,0.428571428,0.571428571,0.250000000,0.750000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
bob bailor,bailb001,0.005434782,0.994565217,0.177595628,0.827868852,0.492307692,0.507692307,0.513636363,0.486363636,0.112149532,0.887850467,0,1.000000000,0.115789473,0.884210526,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
harold baines,bainh001,0.002020202,0.997979797,0.155870445,0.846153846,0.844155844,0.155844155,0.580536912,0.419463087,0.096000000,0.904000000,0.008849557,0.991150442,0.107142857,0.892857142,0.833333333,0.166666666,0.500000000,0.500000000,1.000000000,0,\N,\N,0.994219653,0.005780346,1.000000000,0,\N,\N,1.000000000
doug bair,baird001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
chuck baker,bakec101,0,1.000000000,0.181818181,0.818181818,1.000000000,0,0.666666666,0.333333333,0,1.000000000,0,1.000000000,0.400000000,0.600000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
dusty baker,baked002,0.004862236,0.995137763,0.171009771,0.833876221,0.628571428,0.371428571,0.471976401,0.528023598,0.145251396,0.854748603,0,1.000000000,0.130718954,0.869281045,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
