name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
David Aardsma,aardd001,0.006211180,0.993788819,0.387500000,0.618750000,0.709677419,0.290322580,0.346938775,0.653061224,0.046875000,0.953125000,0.081967213,0.918032786,0.392857142,0.607142857,0.454545454,0.545454545,0.750000000,0.250000000,0.911764705,0.088235294,0.333333333,0.666666666,0.794117647,0.205882352,0.857142857,0.142857142
Fernando Abad,abadf001,0,1.000000000,0.234375000,0.765625000,0.666666666,0.333333333,0.326530612,0.673469387,0.121212121,0.878787878,0.103448275,0.896551724,0.192307692,0.807692307,0.600000000,0.400000000,0.500000000,0.500000000,0.857142857,0.142857142,0.333333333,0.666666666,0.687500000,0.312500000,1.000000000,0
Jeremy Accardo,accaj001,0,1.000000000,0.193548387,0.806451612,0.500000000,0.500000000,0.440000000,0.560000000,0.071428571,0.928571428,0,1.000000000,0.692307692,0.307692307,0.111111111,0.888888888,0.750000000,0.250000000,0.750000000,0.250000000,0,1.000000000,0.727272727,0.272727272,1.000000000,0
Alfredo Aceves,aceva001,0.022222222,0.977777777,0.113636363,0.909090909,0.400000000,0.600000000,0.512820512,0.487179487,0.105263157,0.894736842,0.058823529,0.941176470,0.375000000,0.625000000,0.333333333,0.666666666,1.000000000,0,1.000000000,0,\N,\N,0.850000000,0.150000000,1.000000000,0
Manny Acosta,acosm001,0,1.000000000,0.401459854,0.598540145,0.709090909,0.290909090,0.463414634,0.536585365,0.045454545,0.954545454,0.095238095,0.904761904,0.421052631,0.578947368,0.250000000,0.750000000,0.833333333,0.166666666,0.863636363,0.136363636,0.666666666,0.333333333,0.736842105,0.263157894,1.000000000,0
Mike Adams,adamm001,0,1.000000000,0.355263157,0.644736842,0.790123456,0.209876543,0.414965986,0.585034013,0.127906976,0.872093023,0.026666666,0.973333333,0.356164383,0.643835616,0.384615384,0.615384615,0.812500000,0.187500000,0.787234042,0.212765957,0.600000000,0.400000000,0.770491803,0.229508196,1.000000000,0
Jeremy Affeldt,affej001,0.016574585,0.983425414,0.325842696,0.691011235,0.706896551,0.293103448,0.583333333,0.416666666,0.140000000,0.860000000,0.093023255,0.906976744,0.564102564,0.435897435,0.272727272,0.727272727,0.750000000,0.250000000,0.647058823,0.352941176,0.333333333,0.666666666,0.728571428,0.271428571,0.947368421,0.052631578
Jonathan Albaladejo,albaj001,0.044444444,0.955555555,0.325581395,0.720930232,0.571428571,0.428571428,0.413793103,0.586206896,0.058823529,0.941176470,0.062500000,0.937500000,0.533333333,0.466666666,0.375000000,0.625000000,1.000000000,0,1.000000000,0,\N,\N,0.833333333,0.166666666,1.000000000,0
Matt Albers,albem001,0.007220216,0.992779783,0.269090909,0.738181818,0.621621621,0.378378378,0.577114427,0.422885572,0.082352941,0.917647058,0.051282051,0.948717948,0.432432432,0.567567567,0.218750000,0.781250000,0.760000000,0.240000000,0.785714285,0.214285714,0.555555555,0.444444444,0.732758620,0.267241379,0.967741935,0.032258064
Hector Ambriz,ambrh001,0.005128205,0.994871794,0.268041237,0.737113402,0.711538461,0.288461538,0.436619718,0.563380281,0.050000000,0.950000000,0.131578947,0.868421052,0.363636363,0.636363636,0.166666666,0.833333333,0.700000000,0.300000000,0.714285714,0.285714285,0.333333333,0.666666666,0.741935483,0.258064516,1.000000000,0
Brett Anderson,andeb004,0.015000000,0.985000000,0.220812182,0.794416243,0.793103448,0.206896551,0.511400651,0.488599348,0.080000000,0.920000000,0.036231884,0.963768115,0.503759398,0.496240601,0.313432835,0.686567164,0.782608695,0.217391304,0.833333333,0.166666666,0.181818181,0.818181818,0.757961783,0.242038216,0.868421052,0.131578947
Jake Arrieta,arrij001,0.008108108,0.991891891,0.231607629,0.776566757,0.552941176,0.447058823,0.436170212,0.563829787,0.094339622,0.905660377,0.062500000,0.937500000,0.414814814,0.585185185,0.392857142,0.607142857,0.676470588,0.323529411,0.784810126,0.215189873,0.352941176,0.647058823,0.764227642,0.235772357,0.931034482,0.068965517
Bronson Arroyo,arrob001,0.008185538,0.991814461,0.225584594,0.782668500,0.682926829,0.317073170,0.447602131,0.552397868,0.112540192,0.887459807,0.097826086,0.902173913,0.409638554,0.590361445,0.382352941,0.617647058,0.777777777,0.222222222,0.918367346,0.081632653,0.333333333,0.666666666,0.777777777,0.222222222,0.839285714,0.160714285
Scott Atchison,atchs001,0.004608294,0.995391705,0.245370370,0.759259259,0.716981132,0.283018867,0.469135802,0.530864197,0.093023255,0.906976744,0.115384615,0.884615384,0.362318840,0.637681159,0.400000000,0.600000000,0.733333333,0.266666666,0.840909090,0.159090909,0.285714285,0.714285714,0.736842105,0.263157894,0.950000000,0.050000000
Luis Atilano,atill001,0.006289308,0.993710691,0.196202531,0.810126582,0.612903225,0.387096774,0.413385826,0.586614173,0.140939597,0.859060402,0.078125000,0.921875000,0.500000000,0.500000000,0.288135593,0.711864406,0.690476190,0.309523809,0.779661016,0.220338983,0.230769230,0.769230769,0.800000000,0.200000000,0.904761904,0.095238095
Mitch Atkins,atkim001,0,1.000000000,0.333333333,0.666666666,0.642857142,0.357142857,0.357142857,0.642857142,0.166666666,0.833333333,0.133333333,0.866666666,0.461538461,0.538461538,0.166666666,0.833333333,0.600000000,0.400000000,0.857142857,0.142857142,1.000000000,0,0.600000000,0.400000000,1.000000000,0
John Axford,axfoj001,0.004807692,0.995192307,0.449275362,0.555555555,0.752688172,0.247311827,0.456140350,0.543859649,0.080645161,0.919354838,0.017543859,0.982456140,0.446428571,0.553571428,0.360000000,0.640000000,0.437500000,0.562500000,0.806451612,0.193548387,0.333333333,0.666666666,0.730769230,0.269230769,1.000000000,0
Burke Badenhop,badeb001,0.008474576,0.991525423,0.247863247,0.760683760,0.793103448,0.206896551,0.602272727,0.397727272,0.057142857,0.942857142,0.075757575,0.924242424,0.360655737,0.639344262,0.318181818,0.681818181,0.666666666,0.333333333,0.871794871,0.128205128,0,1.000000000,0.735849056,0.264150943,0.892857142,0.107142857
Danys Baez,baezd001,0.015873015,0.984126984,0.236559139,0.779569892,0.613636363,0.386363636,0.591549295,0.408450704,0.086206896,0.913793103,0.094339622,0.905660377,0.437500000,0.562500000,0.238095238,0.761904761,0.750000000,0.250000000,0.777777777,0.222222222,0.333333333,0.666666666,0.726190476,0.273809523,0.913043478,0.086956521
Andrew Bailey,baila001,0,1.000000000,0.304878048,0.695121951,0.760000000,0.240000000,0.368421052,0.631578947,0.111111111,0.888888888,0.031250000,0.968750000,0.354838709,0.645161290,0.454545454,0.545454545,0.583333333,0.416666666,0.800000000,0.200000000,0.750000000,0.250000000,0.833333333,0.166666666,1.000000000,0
Homer Bailey,bailh001,0.005167958,0.994832041,0.301298701,0.703896103,0.767241379,0.232758620,0.442379182,0.557620817,0.120000000,0.880000000,0.083333333,0.916666666,0.438016528,0.561983471,0.339622641,0.660377358,0.657142857,0.342857142,0.750000000,0.250000000,0.352941176,0.647058823,0.739495798,0.260504201,0.838709677,0.161290322
Scott Baker,bakes002,0.009900990,0.990099009,0.280000000,0.730000000,0.779761904,0.220238095,0.381944444,0.618055555,0.104868913,0.895131086,0.087866108,0.912133891,0.399082568,0.600917431,0.275862068,0.724137931,0.698412698,0.301587301,0.725190839,0.274809160,0.333333333,0.666666666,0.739393939,0.260606060,0.930232558,0.069767441
Collin Balester,balec001,0.013888888,0.986111111,0.464788732,0.549295774,0.848484848,0.151515151,0.552631578,0.447368421,0.058823529,0.941176470,0.125000000,0.875000000,0.500000000,0.500000000,0.428571428,0.571428571,1.000000000,0,0.714285714,0.285714285,0,1.000000000,0.714285714,0.285714285,1.000000000,0
Grant Balfour,balfg001,0,1.000000000,0.356756756,0.643243243,0.803030303,0.196969696,0.310924369,0.689075630,0.121951219,0.878048780,0.027777777,0.972222222,0.357142857,0.642857142,0.240000000,0.760000000,0.578947368,0.421052631,0.911111111,0.088888888,0.250000000,0.750000000,0.729729729,0.270270270,0.800000000,0.200000000
Josh Banks,bankj001,0,1.000000000,0.238095238,0.761904761,0.200000000,0.800000000,0.437500000,0.562500000,0,1.000000000,0.111111111,0.888888888,0.500000000,0.500000000,0,1.000000000,0.750000000,0.250000000,0.500000000,0.500000000,0,1.000000000,0.857142857,0.142857142,1.000000000,0
Brian Bannister,bannb001,0.006172839,0.993827160,0.231884057,0.774327122,0.589285714,0.410714285,0.424324324,0.575675675,0.089201877,0.910798122,0.118556701,0.881443298,0.467836257,0.532163742,0.237500000,0.762500000,0.770491803,0.229508196,0.813186813,0.186813186,0.176470588,0.823529411,0.745222929,0.254777070,0.950000000,0.050000000
