name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct,double_per_xb_g,double_per_xb_f,double_per_xb_l
glenn adams,adamg101,0.008450704,0.991549295,0.147727272,0.860795454,0.519230769,0.480769230,0.480198019,0.519801980,0.019047619,0.980952380,0,1.000000000,0.126213592,0.873786407,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.989690721,0.010309278,1.000000000,0,\N,\N,\N
willie aikens,aikew001,0.002314814,0.997685185,0.306264501,0.696055684,0.598484848,0.401515151,0.528497409,0.471502590,0.021978021,0.978021978,0,1.000000000,0.134831460,0.865168539,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
danny ainge,aingd101,0.006269592,0.993730407,0.217665615,0.788643533,0.840579710,0.159420289,0.670454545,0.329545454,0,1.000000000,0,1.000000000,0.137931034,0.862068965,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
gary alexander,alexg101,0.002512562,0.997487437,0.360201511,0.642317380,0.699300699,0.300699300,0.508670520,0.491329479,0.011764705,0.988235294,0,1.000000000,0.119047619,0.880952380,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
matt alexander,alexm101,0,1.000000000,0,1.000000000,\N,\N,0.833333333,0.166666666,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
gary allenson,alleg001,0.003984063,0.996015936,0.248000000,0.756000000,0.677419354,0.322580645,0.521428571,0.478571428,0.014925373,0.985074626,0,1.000000000,0.151515151,0.848484848,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
neil allen,allen001,0,1.000000000,0.384615384,0.615384615,1.000000000,0,0.750000000,0.250000000,0.500000000,0.500000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
bill almon,almob001,0,1.000000000,0.299516908,0.700483091,0.774193548,0.225806451,0.529411764,0.470588235,0,1.000000000,0,1.000000000,0.104166666,0.895833333,0.800000000,0.200000000,1.000000000,0,1.000000000,0,\N,\N,0.981481481,0.018518518,1.000000000,0,\N,\N,\N
jesus alou,alouj101,0,1.000000000,0.260869565,0.739130434,0.583333333,0.416666666,0.708333333,0.291666666,0,1.000000000,0,1.000000000,0.285714285,0.714285714,0.500000000,0.500000000,0,1.000000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,1.000000000
dell alston,alstd101,0,1.000000000,0.296875000,0.703125000,0.526315789,0.473684210,0.551724137,0.448275862,0,1.000000000,0,1.000000000,0.153846153,0.846153846,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.937500000,0.062500000,1.000000000,0,\N,\N,\N
jim anderson,andej001,0.004048582,0.995951417,0.195121951,0.808943089,0.645833333,0.354166666,0.457746478,0.542253521,0.025974025,0.974025974,0,1.000000000,0.120000000,0.880000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
mike anderson,andem101,0,1.000000000,0.303370786,0.696629213,0.518518518,0.481481481,0.595744680,0.404255319,0.052631578,0.947368421,0,1.000000000,0.277777777,0.722222222,0.600000000,0.400000000,1.000000000,0,1.000000000,0,\N,\N,0.964285714,0.035714285,1.000000000,0,\N,\N,\N
rob andrews,andrr101,0,1.000000000,0.103658536,0.896341463,0.529411764,0.470588235,0.464000000,0.536000000,0.029850746,0.970149253,0,1.000000000,0.261538461,0.738461538,0.411764705,0.588235294,0.900000000,0.100000000,1.000000000,0,\N,\N,0.862068965,0.137931034,1.000000000,0,\N,\N,1.000000000
joaquin andujar,anduj001,0,1.000000000,0.563636363,0.436363636,0.935483870,0.064516129,0.578947368,0.421052631,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
tony armas,armat001,0.003533568,0.996466431,0.287234042,0.716312056,0.827160493,0.172839506,0.424242424,0.575757575,0.026315789,0.973684210,0,1.000000000,0.067567567,0.932432432,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
alan ashby,ashba001,0.005714285,0.994285714,0.247126436,0.758620689,0.813953488,0.186046511,0.591836734,0.408163265,0.125000000,0.875000000,0.014285714,0.985714285,0.188405797,0.811594202,0.923076923,0.076923076,0,1.000000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,1.000000000
brian asselstine,asseb101,0,1.000000000,0.200000000,0.800000000,1.000000000,0,0.428571428,0.571428571,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
bill atkinson,atkib101,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
rick auerbach,auerr101,0,1.000000000,0.288288288,0.711711711,0.593750000,0.406250000,0.416666666,0.583333333,0.285714285,0.714285714,0,1.000000000,0.120000000,0.880000000,0.666666666,0.333333333,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
ramon aviles,avilr101,0.015151515,0.984848484,0.230769230,0.784615384,0.533333333,0.466666666,0.527777777,0.472222222,0.117647058,0.882352941,0,1.000000000,0.266666666,0.733333333,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N,0.947368421,0.052631578,1.000000000,0,\N,\N,\N
