name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct,double_per_xb_g,double_per_xb_f,double_per_xb_l
reggie abercrombie,aberr001,0.027027027,0.972972972,0.333333333,0.694444444,0.916666666,0.083333333,0.416666666,0.583333333,0.250000000,0.750000000,0.095238095,0.904761904,0.526315789,0.473684210,0.400000000,0.600000000,0.666666666,0.333333333,1.000000000,0,\N,\N,0.650000000,0.350000000,0.857142857,0.142857142,1.000000000,\N,1.000000000
bobby abreu,abreb001,0.004316546,0.995683453,0.287572254,0.716763005,0.577889447,0.422110552,0.462474645,0.537525354,0.041509433,0.958490566,0.062992125,0.937007874,0.449579831,0.550420168,0.299065420,0.700934579,0.706666666,0.293333333,0.816793893,0.183206106,0.125000000,0.875000000,0.758771929,0.241228070,0.963636363,0.036363636,0.500000000,0.952380952,0.863636363
tony abreu,abret001,0.017441860,0.982558139,0.159763313,0.857988165,0.777777777,0.222222222,0.535211267,0.464788732,0.060606060,0.939393939,0.032258064,0.967741935,0.466666666,0.533333333,0.285714285,0.714285714,0.450000000,0.550000000,0.937500000,0.062500000,0,1.000000000,0.723684210,0.276315789,0.904761904,0.095238095,1.000000000,1.000000000,0.909090909
winston abreu,abrew001,0,1.000000000,0.500000000,0.500000000,1.000000000,0,0,1.000000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N
russ adams,adamr002,0,1.000000000,0.312500000,0.687500000,0.700000000,0.300000000,0.363636363,0.636363636,0.142857142,0.857142857,0.083333333,0.916666666,0.590909090,0.409090909,0.384615384,0.615384615,0.875000000,0.125000000,0.777777777,0.222222222,0,1.000000000,0.875000000,0.125000000,1.000000000,0,\N,1.000000000,1.000000000
matt albers,albem001,0,1.000000000,0.592592592,0.407407407,1.000000000,0,0.545454545,0.454545454,0,1.000000000,0,1.000000000,0.800000000,0.200000000,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N,0.833333333,0.166666666,1.000000000,0,\N,\N,\N
antonio alfonseca,alfoa001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N,\N,\N,\N
eliezer alfonzo,alfoe002,0.015625000,0.984375000,0.365079365,0.650793650,1.000000000,0,0.650000000,0.350000000,0.214285714,0.785714285,0.090909090,0.909090909,0.600000000,0.400000000,0,1.000000000,0.833333333,0.166666666,0.750000000,0.250000000,0,1.000000000,0.730769230,0.269230769,0.857142857,0.142857142,1.000000000,1.000000000,0
sandy alomar,aloms001,0,1.000000000,0.136363636,0.863636363,1.000000000,0,0.473684210,0.526315789,0.300000000,0.700000000,0,1.000000000,0.285714285,0.714285714,0.500000000,0.500000000,1.000000000,0,0.800000000,0.200000000,0,1.000000000,0.888888888,0.111111111,1.000000000,0,\N,1.000000000,\N
moises alou,aloum001,0.005730659,0.994269340,0.149855907,0.855907780,0.576923076,0.423076923,0.420338983,0.579661016,0.093567251,0.906432748,0.083870967,0.916129032,0.429577464,0.570422535,0.278688524,0.721311475,0.840909090,0.159090909,0.827160493,0.172839506,0.500000000,0.500000000,0.677419354,0.322580645,0.875000000,0.125000000,1.000000000,0.857142857,1.000000000
