name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct,double_per_xb_g,double_per_xb_f,double_per_xb_l
fernando abad,abadf001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
bobby abreu,abreb001,0.003030303,0.996969696,0.328267477,0.674772036,0.611111111,0.388888888,0.477375565,0.522624434,0.056277056,0.943722943,0.091743119,0.908256880,0.333333333,0.666666666,0.287878787,0.712121212,0.723404255,0.276595744,0.765151515,0.234848484,0.193548387,0.806451612,0.772511848,0.227488151,0.916666666,0.083333333,1.000000000,0.960000000,1.000000000
tony abreu,abret001,0,1.000000000,0.258883248,0.741116751,0.921568627,0.078431372,0.465753424,0.534246575,0.102564102,0.897435897,0.014285714,0.985714285,0.521739130,0.478260869,0.250000000,0.750000000,0.703703703,0.296296296,0.818181818,0.181818181,0.333333333,0.666666666,0.867647058,0.132352941,1.000000000,0,\N,1.000000000,0.875000000
jeremy affeldt,affej001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
cory aldridge,aldrc001,0,1.000000000,0.384615384,0.615384615,1.000000000,0,0.750000000,0.250000000,0,1.000000000,0,1.000000000,0.500000000,0.500000000,1.000000000,0,\N,\N,0,1.000000000,0,1.000000000,1.000000000,0,\N,\N,\N,0,\N
eliezer alfonzo,alfoe002,0,1.000000000,0.243902439,0.756097560,1.000000000,0,0.387096774,0.612903225,0,1.000000000,0.052631578,0.947368421,0.277777777,0.722222222,0.400000000,0.600000000,1.000000000,0,0.846153846,0.153846153,0.500000000,0.500000000,0.750000000,0.250000000,1.000000000,0,\N,1.000000000,\N
brandon allen,alleb001,0,1.000000000,0.527272727,0.472727272,0.689655172,0.310344827,0.269230769,0.730769230,0.210526315,0.789473684,0.066666666,0.933333333,0.571428571,0.428571428,0.125000000,0.875000000,0.714285714,0.285714285,0.833333333,0.166666666,0,1.000000000,0.571428571,0.428571428,1.000000000,0,\N,1.000000000,1.000000000
yonder alonso,alony001,0,1.000000000,0.344827586,0.655172413,1.000000000,0,0.473684210,0.526315789,0,1.000000000,0,1.000000000,0.300000000,0.700000000,0.333333333,0.666666666,1.000000000,0,0.714285714,0.285714285,0,1.000000000,0.777777777,0.222222222,1.000000000,0,\N,1.000000000,\N
pedro alvarez,alvap001,0,1.000000000,0.408970976,0.591029023,0.767741935,0.232258064,0.466367713,0.533632286,0.109243697,0.890756302,0.150943396,0.849056603,0.344444444,0.655555555,0.258064516,0.741935483,0.782608695,0.217391304,0.661016949,0.338983050,0.300000000,0.700000000,0.730769230,0.269230769,0.928571428,0.071428571,1.000000000,0.928571428,1.000000000
bryan anderson,andeb005,0.028571428,0.971428571,0.235294117,0.794117647,0.875000000,0.125000000,0.346153846,0.653846153,0.058823529,0.941176470,0,1.000000000,0.437500000,0.562500000,0.285714285,0.714285714,0.800000000,0.200000000,0.888888888,0.111111111,1.000000000,0,0.666666666,0.333333333,0.666666666,0.333333333,1.000000000,\N,1.000000000
