name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Jeff Abbott,abboj002,0.008438818,0.991561181,0.246808510,0.761702127,0.655172413,0.344827586,0.537815126,0.462184873,0.290909090,0.709090909,0,1.000000000,0.205128205,0.794871794,1.000000000,0,\N,\N,0.967741935,0.032258064,0,1.000000000,1.000000000,0,\N,\N
Kurt Abbott,abbok002,0.006211180,0.993788819,0.393750000,0.612500000,0.809523809,0.190476190,0.421875000,0.578125000,0.297297297,0.702702702,0,1.000000000,0.115384615,0.884615384,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Paul Abbott,abbop001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Bobby Abreu,abreb001,0.001526717,0.998473282,0.316513761,0.685015290,0.560386473,0.439613526,0.485074626,0.514925373,0.101449275,0.898550724,0,1.000000000,0.137096774,0.862903225,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Juan Acevedo,acevj001,0,1.000000000,1.000000000,0,0.500000000,0.500000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Terry Adams,adamt001,0,1.000000000,0.500000000,0.500000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Benny Agbayani,agbab001,0.017326732,0.982673267,0.302267002,0.715365239,0.566666666,0.433333333,0.508571428,0.491428571,0.186046511,0.813953488,0,1.000000000,0.171428571,0.828571428,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Israel Alcantara,alcai001,0,1.000000000,0.208333333,0.791666666,0.700000000,0.300000000,0.480000000,0.520000000,0.307692307,0.692307692,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Manny Alexander,alexm001,0,1.000000000,0.274111675,0.725888324,0.759259259,0.240740740,0.392156862,0.607843137,0.274193548,0.725806451,0,1.000000000,0.133333333,0.866666666,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Edgardo Alfonzo,alfoe001,0.007886435,0.992113564,0.260731319,0.747217806,0.426829268,0.573170731,0.363321799,0.636678200,0.130434782,0.869565217,0,1.000000000,0.131250000,0.868750000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Luis Alicea,alicl001,0.008389261,0.991610738,0.225042301,0.783417935,0.563909774,0.436090225,0.408637873,0.591362126,0.140449438,0.859550561,0,1.000000000,0.183006535,0.816993464,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
