name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Don Aase,aased001,0,1.000000000,0.600000000,0.400000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Shawn Abner,abnes001,0,1.000000000,0.225490196,0.774509803,0.869565217,0.130434782,0.354430379,0.645569620,0.196078431,0.803921568,0.048780487,0.951219512,0.230769230,0.769230769,0.222222222,0.777777777,0.857142857,0.142857142,0.833333333,0.166666666,0.400000000,0.600000000,0.892857142,0.107142857,1.000000000,0
Jim Acker,ackej001,0,1.000000000,0.400000000,0.600000000,1.000000000,0,0.666666666,0.333333333,0,1.000000000,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Jim Adduci,adduj001,0,1.000000000,0.222222222,0.777777777,1.000000000,0,0.428571428,0.571428571,0,1.000000000,0,1.000000000,0.625000000,0.375000000,0,1.000000000,0.800000000,0.200000000,1.000000000,0,\N,\N,0.666666666,0.333333333,1.000000000,0
Juan Agosto,agosj001,0,1.000000000,0.500000000,0.500000000,1.000000000,0,0.500000000,0.500000000,0,1.000000000,0,1.000000000,1.000000000,0,0,1.000000000,1.000000000,0,\N,\N,\N,\N,1.000000000,0,\N,\N
Luis Aguayo,agual001,0.020000000,0.980000000,0.265306122,0.755102040,0.730769230,0.269230769,0.500000000,0.500000000,0.222222222,0.777777777,0.035714285,0.964285714,0.370370370,0.629629629,0.500000000,0.500000000,0.200000000,0.800000000,0.941176470,0.058823529,1.000000000,0,0.722222222,0.277777777,0.900000000,0.100000000
Rick Aguilera,aguir001,0,1.000000000,0.375000000,0.625000000,0.666666666,0.333333333,0.400000000,0.600000000,0.333333333,0.666666666,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Jay Aldrich,aldrj001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Mike Aldrete,aldrm001,0.006451612,0.993548387,0.318181818,0.688311688,0.612244897,0.387755102,0.598039215,0.401960784,0.048780487,0.951219512,0.025641025,0.974358974,0.473684210,0.526315789,0.333333333,0.666666666,0.583333333,0.416666666,0.800000000,0.200000000,0,1.000000000,0.836065573,0.163934426,1.000000000,0
Andy Allanson,allaa001,0.011695906,0.988304093,0.201183431,0.810650887,0.691176470,0.308823529,0.411320754,0.588679245,0.134615384,0.865384615,0.022222222,0.977777777,0.462121212,0.537878787,0.409836065,0.590163934,0.805555555,0.194444444,0.915492957,0.084507042,0.500000000,0.500000000,0.779816513,0.220183486,1.000000000,0
Beau Allred,allrb001,0,1.000000000,0.480000000,0.520000000,0.833333333,0.166666666,0.076923076,0.923076923,0,1.000000000,0,1.000000000,0.416666666,0.583333333,0.400000000,0.600000000,0.666666666,0.333333333,0.571428571,0.428571428,0.333333333,0.666666666,1.000000000,0,\N,\N
Roberto Alomar,alomr001,0.001557632,0.998442367,0.195007800,0.806552262,0.608000000,0.392000000,0.539961013,0.460038986,0.072033898,0.927966101,0.031963470,0.968036529,0.396226415,0.603773584,0.273809523,0.726190476,0.852459016,0.147540983,0.804687500,0.195312500,0.480000000,0.520000000,0.711191335,0.288808664,0.937500000,0.062500000
Sandy Alomar,aloms001,0,1.000000000,0.238095238,0.761904761,0.600000000,0.400000000,0.437500000,0.562500000,0.222222222,0.777777777,0.142857142,0.857142857,0.333333333,0.666666666,0,1.000000000,1.000000000,0,0.750000000,0.250000000,0,1.000000000,1.000000000,0,\N,\N
Jose Alvarez,alvaj001,0,1.000000000,0.666666666,0.333333333,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Allan Anderson,andea001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Brady Anderson,andeb001,0.010204081,0.989795918,0.281786941,0.728522336,0.548780487,0.451219512,0.370192307,0.629807692,0.083969465,0.916030534,0.033333333,0.966666666,0.413793103,0.586206896,0.395833333,0.604166666,0.724137931,0.275862068,0.897058823,0.102941176,0.285714285,0.714285714,0.857142857,0.142857142,0.909090909,0.090909090
Dave Anderson,anded001,0,1.000000000,0.276315789,0.723684210,0.619047619,0.380952380,0.570093457,0.429906542,0.173913043,0.826086956,0.026315789,0.973684210,0.540540540,0.459459459,0.400000000,0.600000000,0.833333333,0.166666666,0.941176470,0.058823529,1.000000000,0,0.770491803,0.229508196,1.000000000,0
Kent Anderson,andek001,0.004219409,0.995780590,0.250000000,0.754237288,0.711864406,0.288135593,0.485714285,0.514285714,0.200000000,0.800000000,0,1.000000000,0.513888888,0.486111111,0.324324324,0.675675675,0.840000000,0.160000000,0.857142857,0.142857142,1.000000000,0,0.776470588,0.223529411,0.894736842,0.105263157
Larry Andersen,andel001,0,1.000000000,0.666666666,0.333333333,1.000000000,0,0,1.000000000,0,1.000000000,0,1.000000000,1.000000000,0,0,1.000000000,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N
Eric Anthony,anthe001,0,1.000000000,0.343283582,0.656716417,0.695652173,0.304347826,0.441860465,0.558139534,0.166666666,0.833333333,0.150000000,0.850000000,0.352941176,0.647058823,0.166666666,0.833333333,0.800000000,0.200000000,0.909090909,0.090909090,0,1.000000000,0.947368421,0.052631578,1.000000000,0
Tony Armas,armat001,0,1.000000000,0.261083743,0.738916256,0.905660377,0.094339622,0.373333333,0.626666666,0.138297872,0.861702127,0.135802469,0.864197530,0.457142857,0.542857142,0.218750000,0.781250000,0.800000000,0.200000000,0.842105263,0.157894736,0.833333333,0.166666666,0.821428571,0.178571428,0.800000000,0.200000000
Jack Armstrong,armsj001,0,1.000000000,0.750000000,0.250000000,0.833333333,0.166666666,0.500000000,0.500000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Larry Arndt,arndl001,0,1.000000000,0.166666666,0.833333333,1.000000000,0,0.600000000,0.400000000,0,1.000000000,0,1.000000000,0.500000000,0.500000000,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Alan Ashby,ashba001,0.014285714,0.985714285,0.217391304,0.797101449,0.533333333,0.466666666,0.462962962,0.537037037,0.172413793,0.827586206,0,1.000000000,0.458333333,0.541666666,0.363636363,0.636363636,0.857142857,0.142857142,0.923076923,0.076923076,0,1.000000000,0.920000000,0.080000000,1.000000000,0
Paul Assenmacher,assep001,0,1.000000000,0.400000000,0.600000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Wally Backman,backw001,0.003154574,0.996845425,0.243670886,0.759493670,0.584415584,0.415584415,0.585774058,0.414225941,0.050505050,0.949494949,0.010638297,0.989361702,0.516129032,0.483870967,0.395833333,0.604166666,0.689655172,0.310344827,0.911111111,0.088888888,0.750000000,0.250000000,0.814285714,0.185714285,0.961538461,0.038461538
