name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Andy Abad,abada001,0,1.000000000,0.388888888,0.611111111,0.714285714,0.285714285,0.454545454,0.545454545,0.166666666,0.833333333,0,1.000000000,0.200000000,0.800000000,0,1.000000000,1.000000000,0,0.750000000,0.250000000,1.000000000,0,1.000000000,0,\N,\N
Brent Abernathy,aberb001,0,1.000000000,0.121212121,0.878787878,0.750000000,0.250000000,0.517241379,0.482758620,0.214285714,0.785714285,0,1.000000000,0.090909090,0.909090909,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.933333333,0.066666666,1.000000000,0
Bobby Abreu,abreb001,0.002941176,0.997058823,0.327433628,0.675516224,0.567567567,0.432432432,0.502192982,0.497807017,0.013215859,0.986784140,0.089285714,0.910714285,0.529411764,0.470588235,0.305555555,0.694444444,0.733333333,0.266666666,0.822916666,0.177083333,0.352941176,0.647058823,0.737991266,0.262008733,0.916666666,0.083333333
Jose Acevedo,acevj002,0,1.000000000,0.833333333,0.166666666,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
Terry Adams,adamt001,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Jeremy Affeldt,affej001,0,1.000000000,0.285714285,0.714285714,0.500000000,0.500000000,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.600000000,0.400000000,1.000000000,0
Kurt Ainsworth,ainsk001,0,1.000000000,0.300000000,0.700000000,1.000000000,0,0.500000000,0.500000000,0.142857142,0.857142857,0,1.000000000,0.166666666,0.833333333,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.857142857,0.142857142,1.000000000,0
Edgardo Alfonzo,alfoe001,0.007067137,0.992932862,0.169039145,0.838078291,0.431578947,0.568421052,0.394849785,0.605150214,0.092198581,0.907801418,0.050781250,0.949218750,0.341563786,0.658436213,0.240963855,0.759036144,0.809523809,0.190476190,0.881250000,0.118750000,0.368421052,0.631578947,0.798913043,0.201086956,0.945945945,0.054054054
Chad Allen,allec001,0.040000000,0.960000000,0.208333333,0.833333333,1.000000000,0,0.578947368,0.421052631,0.125000000,0.875000000,0,1.000000000,0.571428571,0.428571428,0.250000000,0.750000000,0.666666666,0.333333333,1.000000000,0,\N,\N,0.909090909,0.090909090,1.000000000,0
Luke Allen,allel001,0,1.000000000,0,1.000000000,\N,\N,1.000000000,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.000000000,0,\N,\N
