name,retroid,hbp_pct,nonhbp_pct,noncontact_per_nonhbp_pct,contact_per_nonhbp_pct,K_per_noncontact_pct,bb_per_noncontact_pct,onground_per_contact_pct,inair_per_contact_pct,iffb_per_inair_pct,noniffb_per_inair_pct,hr_per_noniffb_pct,nonhr_per_noniffb_pct,ld_per_nonhr_pct,fb_per_nonhr_pct,out_per_ld_pct,nonout_per_ld_pct,single_per_nonoutl_pct,xb_per_nonoutl_pct,out_per_fb_pct,nonout_per_fb_pct,single_per_nonoutf_pct,xb_per_nonoutf_pct,out_per_onground_pct,nonout_per_onground_pct,single_per_nonoutg_pct,xb_per_nonoutg_pct
Glenn Abbott,abbog001,0.004366812,0.995633187,0.162280701,0.842105263,0.648648648,0.351351351,0.440677966,0.559322033,0.030303030,0.969696969,0,1.000000000,0.250000000,0.750000000,0.937500000,0.062500000,1.000000000,0,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Vic Albury,albuv101,0.005586592,0.994413407,0.213483146,0.792134831,0.500000000,0.500000000,0.391752577,0.608247422,0.067796610,0.932203389,0,1.000000000,0.218181818,0.781818181,0.916666666,0.083333333,0,1.000000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Santo Alcala,alcas101,0.006302521,0.993697478,0.243128964,0.763213530,0.521739130,0.478260869,0.458498023,0.541501976,0.204379562,0.795620437,0.009174311,0.990825688,0.175925925,0.824074074,1.000000000,0,\N,\N,1.000000000,0,\N,\N,0.948275862,0.051724137,0.833333333,0.166666666
Doyle Alexander,alexd001,0.002923976,0.997076023,0.156891495,0.846041055,0.476635514,0.523364485,0.458239277,0.541760722,0.058333333,0.941666666,0,1.000000000,0.141592920,0.858407079,0.656250000,0.343750000,1.000000000,0,1.000000000,0,\N,\N,0.955665024,0.044334975,1.000000000,0
Joaquin Andujar,anduj001,0,1.000000000,0.184339314,0.815660685,0.486725663,0.513274336,0.538666666,0.461333333,0.075144508,0.924855491,0.006250000,0.993750000,0.150943396,0.849056603,0.708333333,0.291666666,0.714285714,0.285714285,1.000000000,0,\N,\N,0.975247524,0.024752475,1.000000000,0
Bob Apodaca,apodb101,0.010135135,0.989864864,0.184300341,0.825938566,0.759259259,0.240740740,0.532967032,0.467032967,0.082352941,0.917647058,0,1.000000000,0.141025641,0.858974358,0.636363636,0.363636363,0.750000000,0.250000000,1.000000000,0,\N,\N,0.979381443,0.020618556,1.000000000,0
Bill Atkinson,atkib101,0,1.000000000,0.200000000,0.800000000,1.000000000,0,0.444444444,0.555555555,0.200000000,0.800000000,0,1.000000000,0.250000000,0.750000000,1.000000000,0,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
Jerry Augustine,auguj001,0.006677796,0.993322203,0.173109243,0.833613445,0.524271844,0.475728155,0.494623655,0.505376344,0.047872340,0.952127659,0,1.000000000,0.100558659,0.899441340,0.444444444,0.555555555,0.700000000,0.300000000,1.000000000,0,\N,\N,0.951086956,0.048913043,1.000000000,0
Rick Austin,austr101,0.045454545,0.954545454,0.142857142,0.904761904,1.000000000,0,0.461538461,0.538461538,0,1.000000000,0,1.000000000,0.142857142,0.857142857,0,1.000000000,1.000000000,0,1.000000000,0,\N,\N,0.500000000,0.500000000,1.000000000,0
Al Autry,autra101,0,1.000000000,0.333333333,0.666666666,0.500000000,0.500000000,0.375000000,0.625000000,0,1.000000000,0,1.000000000,0,1.000000000,\N,\N,\N,\N,1.000000000,0,\N,\N,1.000000000,0,\N,\N
